sent_at_ms	latency_us	delay_since_due_us
1790219134661	55	55
1790219134662	53	53
1790219134663	50	50
1790219134664	52	52
1790219134665	53	53
1790219134666	57	57
1790219134667	59	59
1790219134668	54	54
1790219134669	53	53
1790219134670	56	56
1790219134671	51	51
1790219134672	59	59
1790219134673	52	52
1790219134674	55	55
1790219134675	55	55
1790219134676	56	56
1790219134677	56	56
1790219134678	62	62
1790219134679	55	55
1790219134680	59	59
1790219134681	54	54
1790219134682	58	58
1790219134683	53	53
1790219134684	56	56
1790219134685	53	53
1790219134686	57	57
1790219134687	54	54
1790219134688	55	55
1790219134689	61	61
1790219134690	59	59
1790219134691	56	56
1790219134692	53	53
1790219134693	56	56
1790219134694	58	58
1790219134695	54	54
1790219134696	55	55
1790219134697	51	51
1790219134698	57	57
1790219134699	54	54
1790219134700	84	84
1790219134701	67	67
1790219134702	60	60
1790219134703	54	54
1790219134704	59	59
1790219134705	58	58
1790219134706	56	56
1790219134707	51	51
1790219134708	58	58
1790219134709	54	54
1790219134710	56	56
1790219134711	55	55
1790219134712	51	51
1790219134713	53	53
1790219134714	59	59
1790219134715	56	56
1790219134716	53	53
1790219134717	52	52
1790219134718	55	55
1790219134719	53	53
1790219134720	54	54
1790219134721	111	111
1790219134722	56	56
1790219134723	51	51
1790219134724	54	54
1790219134725	59	59
1790219134726	55	55
1790219134727	52	52
1790219134728	58	58
1790219134729	50	50
1790219134730	57	57
1790219134731	54	54
1790219134732	53	53
1790219134733	53	53
1790219134734	56	56
1790219134735	53	53
1790219134736	53	53
1790219134737	55	55
1790219134738	55	55
1790219134739	60	60
1790219134740	53	53
1790219134741	50	50
1790219134742	55	55
1790219134743	53	53
1790219134744	54	54
1790219134745	50	50
1790219134746	56	56
1790219134747	53	53
1790219134748	53	53
1790219134749	50	50
1790219134750	63	63
1790219134751	53	53
1790219134752	55	55
1790219134753	51	51
1790219134754	54	54
1790219134755	52	52
1790219134756	55	55
1790219134757	54	54
1790219134758	50	50
1790219134759	52	52
1790219134760	59	59
1790219134761	70	70
1790219134762	55	55
1790219134763	62	62
1790219134764	55	55
1790219134765	52	52
1790219134766	54	54
1790219134767	56	56
1790219134768	53	53
1790219134769	55	55
1790219134770	51	52
1790219134771	55	55
1790219134772	53	53
1790219134773	55	55
1790219134774	56	56
1790219134775	52	52
1790219134776	55	55
1790219134777	56	56
1790219134778	51	51
1790219134779	56	56
1790219134780	55	55
1790219134781	52	52
1790219134782	56	56
1790219134783	52	52
1790219134784	52	52
1790219134785	54	54
1790219134786	54	54
1790219134787	53	53
1790219134788	52	52
1790219134789	57	57
1790219134790	55	55
1790219134791	57	57
1790219134792	54	54
1790219134793	55	55
1790219134794	57	57
1790219134795	52	52
1790219134796	52	52
1790219134797	56	56
1790219134798	53	53
1790219134799	57	57
1790219134800	61	61
1790219134801	52	52
1790219134802	52	52
1790219134803	61	61
1790219134804	71	71
1790219134805	55	55
1790219134806	54	54
1790219134807	58	58
1790219134808	53	53
1790219134809	55	55
1790219134810	56	56
1790219134811	53	53
1790219134812	55	55
1790219134813	52	52
1790219134814	58	58
1790219134815	54	54
1790219134816	51	51
1790219134817	54	54
1790219134818	53	53
1790219134819	54	54
1790219134820	55	55
1790219134821	54	54
1790219134822	109	109
1790219134823	54	54
1790219134824	53	53
1790219134825	55	55
1790219134826	54	54
1790219134827	52	52
1790219134828	57	57
1790219134829	50	50
1790219134830	56	56
1790219134831	51	51
1790219134832	57	57
1790219134833	53	53
1790219134834	56	56
1790219134835	51	51
1790219134836	54	54
1790219134837	54	54
1790219134838	56	56
1790219134839	52	52
1790219134840	55	55
1790219134841	53	53
1790219134842	57	57
1790219134843	52	52
1790219134844	57	57
1790219134845	52	52
1790219134846	54	54
1790219134847	53	53
1790219134848	57	57
1790219134849	54	54
1790219134850	65	65
1790219134851	52	52
