replica	utc	mono_ms	source_acked_seq	replica_seq	seq_gap	seconds_behind_source	io_service_state	sql_running	received_not_applied	applying_trx_age_ms
replica1	2026-09-23T18:12:14.883466045Z	23901	882	882	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:14.883657837Z	23901	882	572	310	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:15.138442129Z	24156	887	572	315	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:15.138363629Z	24156	887	887	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:15.394684129Z	24412	892	892	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:15.394689212Z	24412	892	572	320	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:15.654894546Z	24672	896	572	324	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:15.655372837Z	24673	896	896	0	0	ON	Yes	1	3
replica1	2026-09-23T18:12:15.914220087Z	24932	901	901	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:15.914757587Z	24932	901	572	329	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:16.171329337Z	25189	906	906	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:16.171524046Z	25189	906	572	334	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:16.427522671Z	25445	911	911	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:16.428180171Z	25446	911	572	339	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:16.682054004Z	25699	916	916	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:16.682097129Z	25699	916	572	344	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:16.935375671Z	25953	921	572	349	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:16.935356380Z	25953	921	921	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:17.190767171Z	26208	926	926	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:17.190785421Z	26208	926	572	354	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:17.445726171Z	26463	931	572	359	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:17.445796463Z	26463	931	931	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:17.700919963Z	26718	936	572	364	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:17.700948213Z	26718	936	936	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:17.956569630Z	26974	940	572	368	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:17.957319672Z	26975	940	940	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:18.212933672Z	27230	945	572	373	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:18.212933713Z	27230	945	945	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:18.469114839Z	27487	950	950	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:18.469144797Z	27487	950	572	378	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:18.722959089Z	27740	955	955	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:18.722987589Z	27740	955	572	383	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:18.975902464Z	27993	960	572	388	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:18.975890547Z	27993	960	960	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:19.231007839Z	28248	965	965	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:19.231007756Z	28248	965	572	393	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:19.484597797Z	28502	970	572	398	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:19.484754339Z	28502	970	970	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:19.739627089Z	28757	975	975	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:19.739628298Z	28757	975	572	403	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:19.997847173Z	29015	979	572	407	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:19.997789714Z	29015	979	979	0	0	ON	Yes	1	2
replica1	2026-09-23T18:12:20.254164298Z	29272	984	984	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:20.254238298Z	29272	984	572	412	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:20.520080881Z	29537	989	989	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:20.520227131Z	29538	989	572	417	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:20.773633006Z	29791	994	572	422	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:20.773682131Z	29791	994	994	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:21.026880215Z	30044	999	572	427	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:21.026880173Z	30044	999	999	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:21.283111298Z	30301	1004	572	432	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:21.283129048Z	30301	1004	1004	0	1	ON	Yes	0	0
replica1	2026-09-23T18:12:21.538310715Z	30556	1009	1009	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:21.538330965Z	30556	1009	572	437	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:21.796650465Z	30814	1013	572	441	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:21.796912507Z	30814	1013	1013	0	0	ON	Yes	1	3
replica1	2026-09-23T18:12:22.053918340Z	31071	1018	1018	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:22.053908465Z	31071	1018	572	446	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:22.309521090Z	31327	1023	572	451	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:22.309510424Z	31327	1023	1023	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:22.566167174Z	31584	1028	572	456	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:22.566235257Z	31584	1028	1028	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:22.819852882Z	31837	1033	572	461	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:22.819892549Z	31837	1033	1033	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:23.072964549Z	32090	1038	1038	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:23.072978132Z	32090	1038	572	466	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:23.328398341Z	32346	1042	1042	0	0	ON	Yes	1	2
replica2	2026-09-23T18:12:23.328491924Z	32346	1042	572	470	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:23.587498258Z	32605	1047	1047	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:23.587376674Z	32605	1047	572	475	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:23.845945633Z	32863	1052	572	480	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:23.845968424Z	32863	1052	1052	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:24.101431466Z	33119	1057	1057	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:24.101998258Z	33119	1057	572	485	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:24.357294966Z	33375	1062	572	490	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:24.357304216Z	33375	1061	1062	-1	0	ON	Yes	0	0
replica1	2026-09-23T18:12:24.617049300Z	33634	1066	1066	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:24.617084175Z	33634	1066	572	494	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:24.871074883Z	33888	1071	1071	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:24.871963592Z	33889	1071	572	499	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:25.127999967Z	34145	1076	1076	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:25.128053425Z	34145	1076	572	504	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:25.384685884Z	34402	1081	1081	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:25.385104925Z	34402	1081	572	509	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:25.644645800Z	34662	1086	1086	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:25.644861300Z	34662	1086	572	514	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:25.903232925Z	34921	1091	572	519	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:25.903236717Z	34921	1091	1091	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:26.159864592Z	35177	1095	572	523	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:26.159936634Z	35177	1095	1095	0	0	ON	Yes	1	5
replica1	2026-09-23T18:12:26.415996842Z	35433	1100	1100	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:26.415996801Z	35433	1100	572	528	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:26.676240801Z	35694	1105	1105	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:26.676558592Z	35694	1105	572	533	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:26.930800259Z	35948	1110	1110	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:26.930959926Z	35948	1110	572	538	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:27.185046968Z	36202	1115	1115	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:27.185113968Z	36203	1115	572	543	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:27.439582135Z	36457	1120	1120	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:27.439582010Z	36457	1120	572	548	null	CONNECTING	Yes	0	0
replica2	2026-09-23T18:12:27.694692510Z	36712	1125	572	553	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:27.694784218Z	36712	1125	1125	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:27.954325843Z	36972	1129	572	557	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:27.954328385Z	36972	1129	1129	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:28.210278718Z	37228	1134	572	562	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:28.210367802Z	37228	1134	1134	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:28.466025093Z	37483	1139	572	567	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:28.466024677Z	37483	1139	1139	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:28.718774635Z	37736	1144	572	572	null	CONNECTING	Yes	0	0
replica1	2026-09-23T18:12:28.718861468Z	37736	1144	1144	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:28.972961010Z	37990	1149	572	577	null	CONNECTING	Yes	0	0
